Provider ID	Hospital Name	Address	City	State	ZIP Code	Hospital Type	Hospital Ownership	Hospital overall rating	Mortality national comparison	Safety of care national comparison	Readmission national comparison	Effectiveness of care national comparison
10001	SOUTHEAST ALABAMA MEDICAL CENTER	1108 ROSS CLARK CIRCLE	DOTHAN	AL	36301	Acute Care Hospitals	Government - Hospital District or Authority	3	Same as the national average	Above the national average	Same as the national average	Same as the national average
10005	MARSHALL MEDICAL CENTER SOUTH	2505 U S HIGHWAY 431 NORTH	BOAZ	AL	35957	Acute Care Hospitals	Government - Hospital District or Authority	3	Below the national average	Same as the national average	Above the national average	Same as the national average
10006	ELIZA COFFEE MEMORIAL HOSPITAL	205 MARENGO STREET	FLORENCE	AL	35631	Acute Care Hospitals	Government - Hospital District or Authority	2	Below the national average	Same as the national average	Same as the national average	Same as the national average
10007	MIZELL MEMORIAL HOSPITAL	702 N MAIN ST	OPP	AL	36467	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Not Available	Below the national average	Below the national average
10008	CRENSHAW COMMUNITY HOSPITAL	101 HOSPITAL CIRCLE	LUVERNE	AL	36049	Acute Care Hospitals	Proprietary	3	Same as the national average	Not Available	Same as the national average	Same as the national average
10011	ST VINCENT'S EAST	50 MEDICAL PARK EAST DRIVE	BIRMINGHAM	AL	35235	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Below the national average	Same as the national average	Below the national average
10012	DEKALB REGIONAL MEDICAL CENTER	200 MED CENTER DRIVE	FORT PAYNE	AL	35968	Acute Care Hospitals	Proprietary	3	Below the national average	Same as the national average	Same as the national average	Same as the national average
10016	SHELBY BAPTIST MEDICAL CENTER	1000 FIRST STREET NORTH	ALABASTER	AL	35007	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Above the national average	Same as the national average
10018	CALLAHAN EYE HOSPITAL	1720 UNIVERSITY BLVD	BIRMINGHAM	AL	35233	Acute Care Hospitals	Voluntary non-profit - Private	Not Available	Not Available	Not Available	Not Available	Same as the national average
10019	HELEN KELLER MEMORIAL HOSPITAL	1300 SOUTH MONTGOMERY AVENUE	SHEFFIELD	AL	35660	Acute Care Hospitals	Government - Hospital District or Authority	2	Below the national average	Below the national average	Below the national average	Same as the national average
