ZIP,City/Location Name,STATE,Zip Code Designation
99546,Adak,AK,Low Income Area/HPSA
99551,Akiachak,AK,Low Income Area/HPSA
99553,Akutan,AK,Low Income Area/HPSA
99554,Alakanuk,AK,Low Income Area/HPSA
99555,Aleknagik,AK,Low Income Area/HPSA
99720,Allakaket,AK,Low Income Area/HPSA
99721,Anaktuvuk Pass,AK,Low Income Area/HPSA
99556,Anchor Point,AK,Low Income Area
99501,Anchorage,AK,Low Income Area
99503,Anchorage,AK,Low Income Area
99508,Anchorage,AK,Low Income Area
99744,Anderson,AK,HPSA
99820,Angoon,AK,Low Income Area/HPSA
99557,Aniak,AK,Low Income Area/HPSA
99558,Anvik,AK,Low Income Area/HPSA
99722,Arctic Village,AK,Low Income Area/HPSA
99547,Atka,AK,Low Income Area/HPSA
99723,Barrow,AK,HPSA
99724,Beaver,AK,Low Income Area/HPSA
99559,Bethel,AK,Low Income Area/HPSA
99726,Bettles Field,AK,Low Income Area/HPSA
99785,Brevig Mission,AK,Low Income Area/HPSA
99727,Buckland,AK,Low Income Area/HPSA
99729,Cantwell,AK,HPSA
99730,Central,AK,Low Income Area/HPSA
99561,Chefornak,AK,Low Income Area/HPSA
99564,Chignik,AK,Low Income Area/HPSA
99565,Chignik Lagoon,AK,Low Income Area/HPSA
99733,Circle,AK,Low Income Area/HPSA
99569,Clarks Point,AK,Low Income Area/HPSA
99704,Clear,AK,Low Income Area/HPSA
99571,Cold Bay,AK,Low Income Area/HPSA
99573,Copper Center,AK,Low Income Area/HPSA
99574,Cordova,AK,HPSA
99921,Craig,AK,Low Income Area/HPSA
99575,Crooked Creek,AK,HPSA
99736,Deering,AK,Low Income Area/HPSA
99737,Delta Junction,AK,HPSA
99755,Denali National Park,AK,HPSA
99576,Dillingham,AK,Low Income Area/HPSA
99578,Eek,AK,Low Income Area/HPSA
99579,Egegik,AK,Low Income Area/HPSA
99702,Eielson AFB,AK,HPSA
99580,Ekwok,AK,Low Income Area/HPSA
99825,Elfin Cove,AK,Low Income Area/HPSA
99739,Elim,AK,Low Income Area/HPSA
99506,Elmendorf AFB,AK,Low Income Area
99701,Fairbanks,AK,Low Income Area/HPSA
99709,Fairbanks,AK,HPSA
99712,Fairbanks,AK,HPSA
99712,Fairbanks,AK,HPSA
99583,False Pass,AK,Low Income Area/HPSA
99505,Fort Richardson,AK,Low Income Area
99703,Fort Wainwright,AK,Low Income Area/HPSA
99740,Fort Yukon,AK,Low Income Area/HPSA
99586,Gakona,AK,Low Income Area/HPSA
99741,Galena,AK,Low Income Area/HPSA
99742,Gambell,AK,Low Income Area/HPSA
99588,Glennallen,AK,Low Income Area/HPSA
99589,Goodnews Bay,AK,Low Income Area/HPSA
99826,Gustavus,AK,Low Income Area/HPSA
99827,Haines,AK,HPSA
99743,Healy,AK,HPSA
99743,Healy,AK,HPSA
99602,Holy Cross,AK,Low Income Area/HPSA
99603,Homer,AK,Low Income Area
99829,Hoonah,AK,Low Income Area/HPSA
99604,Hooper Bay,AK,Low Income Area/HPSA
99745,Hughes,AK,Low Income Area/HPSA
99746,Huslia,AK,Low Income Area/HPSA
99922,Hydaburg,AK,Low Income Area/HPSA
99923,Hyder,AK,HPSA
99606,Iliamna,AK,Low Income Area/HPSA
99801,Juneau,AK,HPSA
99747,Kaktovik,AK,Low Income Area/HPSA
99607,Kalskag,AK,Low Income Area/HPSA
99748,Kaltag,AK,Low Income Area/HPSA
99950,Ketchikan,AK,Low Income Area/HPSA
99901,Ketchikan,AK,HPSA
99749,Kiana,AK,Low Income Area/HPSA
99612,King Cove,AK,Low Income Area/HPSA
99613,King Salmon,AK,HPSA
99614,Kipnuk,AK,Low Income Area/HPSA
99750,Kivalina,AK,Low Income Area/HPSA
99925,Klawock,AK,Low Income Area/HPSA
99751,Kobuk,AK,Low Income Area/HPSA
99620,Kotlik,AK,Low Income Area/HPSA
99752,Kotzebue,AK,Low Income Area/HPSA
99753,Koyuk,AK,Low Income Area/HPSA
99621,Kwethluk,AK,Low Income Area/HPSA
99622,Kwigillingok,AK,Low Income Area/HPSA
99757,Lake Minchumina,AK,Low Income Area/HPSA
99625,Levelock,AK,Low Income Area/HPSA
99626,Lower Kalskag,AK,Low Income Area/HPSA
99756,Manley Hot Springs,AK,Low Income Area/HPSA
99628,Manokotak,AK,Low Income Area/HPSA
99585,Marshall,AK,Low Income Area/HPSA
99627,MC Grath,AK,Low Income Area/HPSA
99630,Mekoryuk,AK,Low Income Area/HPSA
99926,Metlakatla,AK,Low Income Area/HPSA
99903,Meyers Chuck,AK,Low Income Area
99758,Minto,AK,Low Income Area/HPSA
99632,Mountain Village,AK,Low Income Area/HPSA
99634,Napakiak,AK,Low Income Area/HPSA
99760,Nenana,AK,Low Income Area/HPSA
99636,New Stuyahok,AK,Low Income Area/HPSA
99691,Nikolai,AK,Low Income Area/HPSA
99638,Nikolski,AK,Low Income Area/HPSA
99639,Ninilchik,AK,Low Income Area
99762,Nome,AK,HPSA
99640,Nondalton,AK,Low Income Area/HPSA
99763,Noorvik,AK,Low Income Area/HPSA
99705,North Pole,AK,HPSA
99789,Nuiqsut,AK,Low Income Area/HPSA
99765,Nulato,AK,Low Income Area/HPSA
99647,Pedro Bay,AK,Low Income Area/HPSA
99648,Perryville,AK,Low Income Area/HPSA
99649,Pilot Point,AK,Low Income Area/HPSA
99651,Platinum,AK,Low Income Area/HPSA
99927,Point Baker,AK,Low Income Area/HPSA
99766,Point Hope,AK,Low Income Area/HPSA
99759,Point Lay,AK,Low Income Area/HPSA
99653,Port Alsworth,AK,Low Income Area/HPSA
99549,Port Heiden,AK,Low Income Area/HPSA
99734,Prudhoe Bay,AK,HPSA
99655,Quinhagak,AK,Low Income Area/HPSA
99656,Red Devil,AK,Low Income Area/HPSA
99768,Ruby,AK,Low Income Area/HPSA
99657,Russian Mission,AK,Low Income Area/HPSA
99591,Saint George Island,AK,Low Income Area/HPSA
99658,Saint Marys,AK,Low Income Area/HPSA
99659,Saint Michael,AK,Low Income Area/HPSA
99660,Saint Paul Island,AK,Low Income Area/HPSA
99714,Salcha,AK,Low Income Area/HPSA
99661,Sand Point,AK,Low Income Area/HPSA
99769,Savoonga,AK,Low Income Area/HPSA
99662,Scammon Bay,AK,Low Income Area/HPSA
99665,Shageluk,AK,Low Income Area/HPSA
99771,Shaktoolik,AK,Low Income Area/HPSA
99772,Shishmaref,AK,Low Income Area/HPSA
99840,Skagway,AK,Low Income Area/HPSA
99668,Sleetmute,AK,Low Income Area/HPSA
99670,South Naknek,AK,HPSA
99671,Stebbins,AK,Low Income Area/HPSA
99676,Talkeetna,AK,Low Income Area/HPSA
99777,Tanana,AK,Low Income Area/HPSA
99778,Teller,AK,Low Income Area/HPSA
99919,Thorne Bay,AK,Low Income Area/HPSA
99780,Tok,AK,Low Income Area/HPSA
99679,Tuluksak,AK,Low Income Area/HPSA
99681,Tununak,AK,Low Income Area/HPSA
99682,Tyonek,AK,Low Income Area
99684,Unalakleet,AK,Low Income Area/HPSA
99685,Unalaska,AK,Low Income Area/HPSA
99686,Valdez,AK,HPSA
99781,Venetie,AK,Low Income Area/HPSA
99782,Wainwright,AK,Low Income Area/HPSA
99783,Wales,AK,Low Income Area/HPSA
99784,White Mountain,AK,Low Income Area/HPSA
99688,Willow,AK,HPSA
99929,Wrangell,AK,Low Income Area
99689,Yakutat,AK,HPSA
36310,Abbeville,AL,Low Income Area/HPSA
35005,Adamsville,AL,Low Income Area
35540,Addison,AL,Low Income Area/HPSA
35006,Adger,AL,HPSA
35006,Adger,AL,HPSA
35441,Akron,AL,Low Income Area/HPSA
36720,Alberta,AL,Low Income Area/HPSA
35950,Albertville,AL,Low Income Area/HPSA
35951,Albertville,AL,Low Income Area/HPSA
35010,Alexander City,AL,Low Income Area/HPSA
36250,Alexandria,AL,Low Income Area
35442,Aliceville,AL,Low Income Area/HPSA
35014,Alpine,AL,Low Income Area/HPSA
35952,Altoona,AL,Low Income Area/HPSA
36420,Andalusia,AL,Low Income Area/HPSA
36421,Andalusia,AL,Low Income Area
35610,Anderson,AL,HPSA
35610,Anderson,AL,HPSA
36201,Anniston,AL,Low Income Area
36205,Anniston,AL,Low Income Area
36206,Anniston,AL,Low Income Area
35016,Arab,AL,Low Income Area/HPSA
35739,Ardmore,AL,Low Income Area/HPSA
36311,Ariton,AL,Low Income Area/HPSA
35541,Arley,AL,Low Income Area/HPSA
36722,Arlington,AL,Low Income Area/HPSA
36312,Ashford,AL,Low Income Area/HPSA
36251,Ashland,AL,Low Income Area/HPSA
35953,Ashville,AL,Low Income Area
35611,Athens,AL,Low Income Area/HPSA
35614,Athens,AL,Low Income Area/HPSA
35613,Athens,AL,HPSA
36502,Atmore,AL,Low Income Area/HPSA
35954,Attalla,AL,Low Income Area/HPSA
36830,Auburn,AL,Low Income Area/HPSA
36832,Auburn,AL,Low Income Area/HPSA
36849,Auburn University,AL,Low Income Area/HPSA
36003,Autaugaville,AL,Low Income Area/HPSA
36505,Axis,AL,HPSA
35019,Baileyton,AL,Low Income Area/HPSA
36005,Banks,AL,Low Income Area/HPSA
35542,Bankston,AL,Low Income Area/HPSA
36507,Bay Minette,AL,Low Income Area/HPSA
36509,Bayou la Batre,AL,Low Income Area/HPSA
35543,Bear Creek,AL,Low Income Area
36425,Beatrice,AL,Low Income Area/HPSA
35544,Beaverton,AL,Low Income Area/HPSA
35546,Berry,AL,Low Income Area/HPSA
35020,Bessemer,AL,Low Income Area/HPSA
35022,Bessemer,AL,HPSA
36006,Billingsley,AL,Low Income Area/HPSA
35203,Birmingham,AL,Low Income Area/HPSA
35204,Birmingham,AL,Low Income Area/HPSA
35205,Birmingham,AL,Low Income Area/HPSA
35206,Birmingham,AL,Low Income Area/HPSA
35207,Birmingham,AL,Low Income Area/HPSA
35208,Birmingham,AL,Low Income Area/HPSA
35209,Birmingham,AL,Low Income Area/HPSA
35211,Birmingham,AL,Low Income Area/HPSA
35212,Birmingham,AL,Low Income Area/HPSA
35214,Birmingham,AL,Low Income Area/HPSA
35215,Birmingham,AL,Low Income Area/HPSA
35217,Birmingham,AL,Low Income Area/HPSA
35218,Birmingham,AL,Low Income Area/HPSA
35221,Birmingham,AL,Low Income Area/HPSA
35222,Birmingham,AL,Low Income Area/HPSA
35224,Birmingham,AL,Low Income Area/HPSA
35228,Birmingham,AL,Low Income Area/HPSA
35233,Birmingham,AL,Low Income Area/HPSA
35234,Birmingham,AL,Low Income Area/HPSA
35254,Birmingham,AL,Low Income Area/HPSA
35210,Birmingham,AL,HPSA
36314,Black,AL,Low Income Area/HPSA
35031,Blountsville,AL,Low Income Area/HPSA
35957,Boaz,AL,Low Income Area/HPSA
35956,Boaz,AL,Low Income Area/HPSA
35443,Boligee,AL,Low Income Area/HPSA
36511,Bon Secour,AL,Low Income Area/HPSA
36009,Brantley,AL,Low Income Area/HPSA
35033,Bremen,AL,Low Income Area/HPSA
35034,Brent,AL,Low Income Area/HPSA
36426,Brewton,AL,Low Income Area/HPSA
35740,Bridgeport,AL,Low Income Area/HPSA
35035,Brierfield,AL,Low Income Area/HPSA
35548,Brilliant,AL,Low Income Area
35444,Brookwood,AL,HPSA
36010,Brundidge,AL,Low Income Area
35958,Bryant,AL,Low Income Area/HPSA
35446,Buhl,AL,Low Income Area/HPSA
36401,Burnt Corn,AL,Low Income Area/HPSA
36904,Butler,AL,Low Income Area/HPSA
35040,Calera,AL,HPSA
36726,Camden,AL,Low Income Area/HPSA
36850,Camp Hill,AL,Low Income Area/HPSA
36727,Campbell,AL,Low Income Area/HPSA
35549,Carbon Hill,AL,Low Income Area/HPSA
36515,Carlton,AL,Low Income Area/HPSA
35447,Carrollton,AL,Low Income Area/HPSA
36432,Castleberry,AL,Low Income Area/HPSA
36728,Catherine,AL,Low Income Area/HPSA
36013,Cecil,AL,Low Income Area/HPSA
35959,Cedar Bluff,AL,Low Income Area/HPSA
35960,Centre,AL,Low Income Area/HPSA
35042,Centreville,AL,Low Income Area/HPSA
36316,Chancellor,AL,Low Income Area/HPSA
36518,Chatom,AL,Low Income Area/HPSA
35616,Cherokee,AL,Low Income Area/HPSA
35044,Childersburg,AL,Low Income Area/HPSA
36521,Chunchula,AL,Low Income Area/HPSA
36522,Citronelle,AL,Low Income Area/HPSA
35045,Clanton,AL,Low Income Area/HPSA
35046,Clanton,AL,Low Income Area/HPSA
36016,Clayton,AL,Low Income Area/HPSA
35049,Cleveland,AL,Low Income Area/HPSA
36017,Clio,AL,Low Income Area/HPSA
36317,Clopton,AL,Low Income Area/HPSA
36523,Coden,AL,Low Income Area/HPSA
36318,Coffee Springs,AL,Low Income Area/HPSA
36524,Coffeeville,AL,Low Income Area/HPSA
35452,Coker,AL,HPSA
35961,Collinsville,AL,Low Income Area/HPSA
36319,Columbia,AL,Low Income Area/HPSA
35051,Columbiana,AL,Low Income Area
36020,Coosada,AL,Low Income Area/HPSA
35550,Cordova,AL,Low Income Area/HPSA
35453,Cottondale,AL,HPSA
36320,Cottonwood,AL,Low Income Area/HPSA
35618,Courtland,AL,Low Income Area/HPSA
36321,Cowarts,AL,Low Income Area/HPSA
36435,Coy,AL,Low Income Area/HPSA
36255,Cragford,AL,Low Income Area/HPSA
35053,Crane Hill,AL,Low Income Area/HPSA
36525,Creola,AL,Low Income Area/HPSA
35054,Cropwell,AL,Low Income Area
35962,Crossville,AL,Low Income Area/HPSA
36907,Cuba,AL,Low Income Area/HPSA
35055,Cullman,AL,Low Income Area/HPSA
35057,Cullman,AL,Low Income Area/HPSA
35058,Cullman,AL,Low Income Area/HPSA
36852,Cusseta,AL,Low Income Area/HPSA
36853,Dadeville,AL,Low Income Area/HPSA
36322,Daleville,AL,Low Income Area/HPSA
35619,Danville,AL,Low Income Area/HPSA
36528,Dauphin Island,AL,Low Income Area/HPSA
36256,Daviston,AL,Low Income Area
35963,Dawson,AL,Low Income Area/HPSA
36022,Deatsville,AL,HPSA
36022,Deatsville,AL,HPSA
35601,Decatur,AL,Low Income Area/HPSA
35603,Decatur,AL,HPSA
35603,Decatur,AL,HPSA
36529,Deer Park,AL,Low Income Area/HPSA
36258,Delta,AL,Low Income Area/HPSA
36732,Demopolis,AL,Low Income Area/HPSA
35552,Detroit,AL,Low Income Area/HPSA
36436,Dickinson,AL,Low Income Area/HPSA
36736,Dixons Mills,AL,Low Income Area/HPSA
35061,Dolomite,AL,Low Income Area
35062,Dora,AL,Low Income Area/HPSA
36301,Dothan,AL,Low Income Area/HPSA
36303,Dothan,AL,Low Income Area/HPSA
36305,Dothan,AL,HPSA
36305,Dothan,AL,HPSA
35553,Double Springs,AL,Low Income Area/HPSA
36028,Dozier,AL,Low Income Area/HPSA
35456,Duncanville,AL,HPSA
35456,Duncanville,AL,HPSA
35744,Dutton,AL,Low Income Area/HPSA
36260,Eastaboga,AL,Low Income Area/HPSA
35457,Echola,AL,Low Income Area/HPSA
36024,Eclectic,AL,HPSA
36024,Eclectic,AL,HPSA
36613,Eight Mile,AL,Low Income Area/HPSA
36323,Elba,AL,Low Income Area/HPSA
36530,Elberta,AL,Low Income Area/HPSA
35554,Eldridge,AL,Low Income Area/HPSA
35620,Elkmont,AL,Low Income Area/HPSA
36025,Elmore,AL,Low Income Area/HPSA
35458,Elrod,AL,HPSA
35459,Emelle,AL,Low Income Area/HPSA
35063,Empire,AL,Low Income Area/HPSA
36330,Enterprise,AL,Low Income Area/HPSA
35460,Epes,AL,Low Income Area/HPSA
36026,Equality,AL,HPSA
36026,Equality,AL,HPSA
36026,Equality,AL,HPSA
35745,Estillfork,AL,Low Income Area/HPSA
35461,Ethelsville,AL,Low Income Area/HPSA
36027,Eufaula,AL,Low Income Area/HPSA
35462,Eutaw,AL,Low Income Area/HPSA
35621,Eva,AL,Low Income Area/HPSA
35746,Fackler,AL,Low Income Area/HPSA
35064,Fairfield,AL,Low Income Area/HPSA
36532,Fairhope,AL,HPSA
35622,Falkville,AL,Low Income Area/HPSA
36738,Faunsdale,AL,Low Income Area/HPSA
35555,Fayette,AL,Low Income Area/HPSA
36029,Fitzpatrick,AL,Low Income Area/HPSA
36855,Five Points,AL,Low Income Area/HPSA
35966,Flat Rock,AL,Low Income Area/HPSA
36441,Flomaton,AL,Low Income Area/HPSA
36442,Florala,AL,Low Income Area/HPSA
35630,Florence,AL,Low Income Area/HPSA
35633,Florence,AL,Low Income Area/HPSA
35634,Florence,AL,HPSA
36535,Foley,AL,Low Income Area/HPSA
36030,Forest Home,AL,Low Income Area/HPSA
36740,Forkland,AL,Low Income Area/HPSA
36031,Fort Davis,AL,Low Income Area/HPSA
36032,Fort Deposit,AL,Low Income Area/HPSA
36856,Fort Mitchell,AL,Low Income Area/HPSA
35967,Fort Payne,AL,Low Income Area/HPSA
35968,Fort Payne,AL,Low Income Area/HPSA
36362,Fort Rucker,AL,Low Income Area/HPSA
35463,Fosters,AL,HPSA
36444,Franklin,AL,Low Income Area/HPSA
36538,Frankville,AL,Low Income Area/HPSA
36445,Frisco City,AL,Low Income Area/HPSA
36539,Fruitdale,AL,Low Income Area/HPSA
36262,Fruithurst,AL,Low Income Area/HPSA
36446,Fulton,AL,Low Income Area/HPSA
35971,Fyffe,AL,Low Income Area/HPSA
35901,Gadsden,AL,Low Income Area/HPSA
35903,Gadsden,AL,Low Income Area/HPSA
35904,Gadsden,AL,Low Income Area
35906,Gadsden,AL,Low Income Area
36540,Gainestown,AL,Low Income Area/HPSA
35464,Gainesville,AL,Low Income Area/HPSA
35972,Gallant,AL,Low Income Area
36742,Gallion,AL,Low Income Area/HPSA
36038,Gantt,AL,Low Income Area
35973,Gaylesville,AL,Low Income Area/HPSA
36340,Geneva,AL,Low Income Area/HPSA
36033,Georgiana,AL,Low Income Area/HPSA
35974,Geraldine,AL,Low Income Area/HPSA
36908,Gilbertown,AL,Low Income Area/HPSA
36034,Glenwood,AL,Low Income Area/HPSA
35072,Goodwater,AL,Low Income Area/HPSA
35466,Gordo,AL,Low Income Area/HPSA
36343,Gordon,AL,Low Income Area/HPSA
36035,Goshen,AL,Low Income Area/HPSA
36036,Grady,AL,Low Income Area/HPSA
36263,Graham,AL,Low Income Area/HPSA
36541,Grand Bay,AL,Low Income Area/HPSA
35747,Grant,AL,Low Income Area/HPSA
35073,Graysville,AL,Low Income Area
36744,Greensboro,AL,Low Income Area/HPSA
36037,Greenville,AL,Low Income Area/HPSA
36451,Grove Hill,AL,Low Income Area/HPSA
35975,Groveoak,AL,Low Income Area/HPSA
35563,Guin,AL,Low Income Area/HPSA
36542,Gulf Shores,AL,Low Income Area/HPSA
35976,Guntersville,AL,Low Income Area/HPSA
35748,Gurley,AL,Low Income Area/HPSA
35564,Hackleburg,AL,Low Income Area/HPSA
35565,Haleyville,AL,Low Income Area/HPSA
35570,Hamilton,AL,Low Income Area/HPSA
35077,Hanceville,AL,Low Income Area/HPSA
36039,Hardaway,AL,Low Income Area/HPSA
35078,Harpersville,AL,Low Income Area
36344,Hartford,AL,Low Income Area/HPSA
35640,Hartselle,AL,Low Income Area/HPSA
35749,Harvest,AL,HPSA
35749,Harvest,AL,HPSA
36858,Hatchechubbee,AL,Low Income Area/HPSA
35079,Hayden,AL,HPSA
36040,Hayneville,AL,Low Income Area/HPSA
36345,Headland,AL,HPSA
36345,Headland,AL,HPSA
36345,Headland,AL,HPSA
36264,Heflin,AL,Low Income Area/HPSA
35978,Henagar,AL,Low Income Area/HPSA
35979,Higdon,AL,Low Income Area/HPSA
36041,Highland Home,AL,Low Income Area/HPSA
35643,Hillsboro,AL,Low Income Area/HPSA
35571,Hodges,AL,Low Income Area/HPSA
35083,Holly Pond,AL,Low Income Area/HPSA
35751,Hollytree,AL,Low Income Area/HPSA
35752,Hollywood,AL,Low Income Area/HPSA
36042,Honoraville,AL,Low Income Area/HPSA
36043,Hope Hull,AL,Low Income Area/HPSA
35980,Horton,AL,Low Income Area/HPSA
35572,Houston,AL,Low Income Area/HPSA
35805,Huntsville,AL,Low Income Area/HPSA
35810,Huntsville,AL,Low Income Area/HPSA
35816,Huntsville,AL,Low Income Area/HPSA
35808,Huntsville,AL,Low Income Area
35898,Huntsville,AL,Low Income Area
35801,Huntsville,AL,HPSA
35802,Huntsville,AL,HPSA
35806,Huntsville,AL,HPSA
35811,Huntsville,AL,HPSA
36860,Hurtsboro,AL,Low Income Area/HPSA
35981,Ider,AL,Low Income Area/HPSA
36544,Irvington,AL,Low Income Area/HPSA
36910,Jachin,AL,Low Income Area/HPSA
36346,Jack,AL,Low Income Area
36545,Jackson,AL,Low Income Area/HPSA
36861,Jacksons Gap,AL,Low Income Area
36265,Jacksonville,AL,Low Income Area/HPSA
35501,Jasper,AL,Low Income Area/HPSA
35503,Jasper,AL,Low Income Area/HPSA
35504,Jasper,AL,Low Income Area/HPSA
35085,Jemison,AL,Low Income Area/HPSA
36749,Jones,AL,Low Income Area/HPSA
35087,Joppa,AL,Low Income Area/HPSA
35089,Kellyton,AL,Low Income Area/HPSA
35574,Kennedy,AL,Low Income Area/HPSA
35645,Killen,AL,Low Income Area/HPSA
36453,Kinston,AL,Low Income Area/HPSA
35469,Knoxville,AL,Low Income Area/HPSA
35754,Laceys Spring,AL,Low Income Area/HPSA
36862,Lafayette,AL,Low Income Area/HPSA
36863,Lanett,AL,Low Income Area/HPSA
35755,Langston,AL,Low Income Area/HPSA
36046,Lapine,AL,Low Income Area/HPSA
36793,Lawley,AL,Low Income Area/HPSA
35094,Leeds,AL,Low Income Area
35983,Leesburg,AL,Low Income Area/HPSA
35646,Leighton,AL,Low Income Area
36454,Lenox,AL,Low Income Area/HPSA
36548,Leroy,AL,Low Income Area/HPSA
35647,Lester,AL,HPSA
36047,Letohatchee,AL,Low Income Area/HPSA
35648,Lexington,AL,Low Income Area/HPSA
36549,Lillian,AL,Low Income Area/HPSA
35096,Lincoln,AL,Low Income Area/HPSA
36748,Linden,AL,Low Income Area/HPSA
36266,Lineville,AL,Low Income Area/HPSA
36912,Lisman,AL,Low Income Area/HPSA
36550,Little River,AL,Low Income Area/HPSA
35470,Livingston,AL,Low Income Area/HPSA
35097,Locust Fork,AL,Low Income Area/HPSA
35098,Logan,AL,Low Income Area/HPSA
36048,Louisville,AL,Low Income Area/HPSA
36751,Lower Peach Tree,AL,Low Income Area/HPSA
36752,Lowndesboro,AL,Low Income Area/HPSA
36551,Loxley,AL,Low Income Area/HPSA
36049,Luverne,AL,Low Income Area/HPSA
35575,Lynn,AL,Low Income Area/HPSA
35757,Madison,AL,HPSA
35756,Madison,AL,HPSA
36754,Magnolia,AL,Low Income Area/HPSA
36555,Magnolia Springs,AL,Low Income Area/HPSA
36349,Malvern,AL,Low Income Area/HPSA
36750,Maplesville,AL,Low Income Area/HPSA
36051,Marbury,AL,Low Income Area/HPSA
36756,Marion,AL,Low Income Area/HPSA
36759,Marion Junction,AL,Low Income Area/HPSA
36052,Mathews,AL,Low Income Area/HPSA
35111,MC Calla,AL,HPSA
35111,MC Calla,AL,HPSA
36553,MC Intosh,AL,Low Income Area/HPSA
36456,MC Kenzie,AL,Low Income Area/HPSA
35984,Mentone,AL,Low Income Area/HPSA
36350,Midland City,AL,Low Income Area/HPSA
36053,Midway,AL,Low Income Area/HPSA
36054,Millbrook,AL,Low Income Area/HPSA
35576,Millport,AL,Low Income Area/HPSA
36558,Millry,AL,Low Income Area/HPSA
36761,Minter,AL,Low Income Area/HPSA
36602,Mobile,AL,Low Income Area/HPSA
36603,Mobile,AL,Low Income Area/HPSA
36604,Mobile,AL,Low Income Area/HPSA
36605,Mobile,AL,Low Income Area/HPSA
36606,Mobile,AL,Low Income Area/HPSA
36607,Mobile,AL,Low Income Area/HPSA
36608,Mobile,AL,Low Income Area/HPSA
36609,Mobile,AL,Low Income Area/HPSA
36610,Mobile,AL,Low Income Area/HPSA
36611,Mobile,AL,Low Income Area/HPSA
36612,Mobile,AL,Low Income Area/HPSA
36615,Mobile,AL,Low Income Area/HPSA
36617,Mobile,AL,Low Income Area/HPSA
36618,Mobile,AL,Low Income Area/HPSA
36619,Mobile,AL,Low Income Area/HPSA
36688,Mobile,AL,HPSA
36693,Mobile,AL,HPSA
36695,Mobile,AL,HPSA
36460,Monroeville,AL,Low Income Area/HPSA
35115,Montevallo,AL,Low Income Area/HPSA
36104,Montgomery,AL,Low Income Area/HPSA
36105,Montgomery,AL,Low Income Area/HPSA
36107,Montgomery,AL,Low Income Area/HPSA
36108,Montgomery,AL,Low Income Area/HPSA
36110,Montgomery,AL,Low Income Area/HPSA
36111,Montgomery,AL,Low Income Area/HPSA
36114,Montgomery,AL,Low Income Area/HPSA
36115,Montgomery,AL,Low Income Area/HPSA
36116,Montgomery,AL,Low Income Area/HPSA
36106,Montgomery,AL,HPSA
36109,Montgomery,AL,HPSA
36112,Montgomery,AL,HPSA
36113,Montgomery,AL,HPSA
36117,Montgomery,AL,HPSA
35650,Moulton,AL,Low Income Area/HPSA
35474,Moundville,AL,Low Income Area/HPSA
35651,Mount Hope,AL,Low Income Area/HPSA
36560,Mount Vernon,AL,Low Income Area/HPSA
35118,Mulga,AL,Low Income Area
36268,Munford,AL,Low Income Area/HPSA
36269,Muscadine,AL,Low Income Area/HPSA
35661,Muscle Shoals,AL,Low Income Area
35578,Nauvoo,AL,Low Income Area/HPSA
36915,Needham,AL,Low Income Area/HPSA
36351,New Brockton,AL,Low Income Area
35760,New Hope,AL,Low Income Area/HPSA
36765,Newbern,AL,Low Income Area/HPSA
36352,Newton,AL,Low Income Area/HPSA
36353,Newville,AL,Low Income Area/HPSA
35476,Northport,AL,Low Income Area/HPSA
35473,Northport,AL,HPSA
35475,Northport,AL,HPSA
36866,Notasulga,AL,Low Income Area/HPSA
35579,Oakman,AL,Low Income Area/HPSA
36271,Ohatchee,AL,Low Income Area
35121,Oneonta,AL,Low Income Area/HPSA
36801,Opelika,AL,Low Income Area/HPSA
36804,Opelika,AL,Low Income Area/HPSA
36467,Opp,AL,Low Income Area/HPSA
36561,Orange Beach,AL,HPSA
36767,Orrville,AL,Low Income Area/HPSA
36203,Oxford,AL,Low Income Area/HPSA
36360,Ozark,AL,Low Income Area/HPSA
35764,Paint Rock,AL,Low Income Area/HPSA
36370,Pansey,AL,Low Income Area/HPSA
35580,Parrish,AL,Low Income Area/HPSA
35125,Pell City,AL,Low Income Area
35128,Pell City,AL,Low Income Area
36916,Pennington,AL,Low Income Area/HPSA
36562,Perdido,AL,Low Income Area/HPSA
36471,Peterman,AL,Low Income Area/HPSA
36867,Phenix City,AL,Low Income Area/HPSA
36869,Phenix City,AL,Low Income Area/HPSA
36870,Phenix City,AL,HPSA
36870,Phenix City,AL,HPSA
35581,Phil Campbell,AL,Low Income Area/HPSA
36272,Piedmont,AL,Low Income Area/HPSA
36064,Pike Road,AL,HPSA
36768,Pine Apple,AL,Low Income Area/HPSA
36769,Pine Hill,AL,Low Income Area/HPSA
35126,Pinson,AL,HPSA
35765,Pisgah,AL,Low Income Area/HPSA
36871,Pittsview,AL,Low Income Area/HPSA
36758,Plantersville,AL,Low Income Area/HPSA
36066,Prattville,AL,HPSA
36067,Prattville,AL,HPSA
36067,Prattville,AL,HPSA
35766,Princeton,AL,Low Income Area/HPSA
35130,Quinton,AL,Low Income Area/HPSA
35131,Ragland,AL,Low Income Area
35986,Rainsville,AL,Low Income Area/HPSA
35480,Ralph,AL,HPSA
35480,Ralph,AL,HPSA
36069,Ramer,AL,HPSA
36273,Ranburne,AL,Low Income Area/HPSA
36792,Randolph,AL,Low Income Area/HPSA
36473,Range,AL,Low Income Area/HPSA
35582,Red Bay,AL,Low Income Area/HPSA
36474,Red Level,AL,Low Income Area
